txn_id,date,description,category,type,amount,balance
TXN01071,2024-02-06,IMPS CREDIT,TRANSFER_IN,credit,17699.51,18199.51
TXN01068,2024-02-06,ATM CASH HDFC,ATM_WITHDRAW,debit,4942.27,500.0
TXN01069,2024-02-06,ATM WITHDRAWAL AXIS,ATM_WITHDRAW,debit,5190.6,500.0
TXN01060,2024-02-07,AMAZON PURCHASE,SHOPPING,debit,4229.36,500.0
TXN01051,2024-02-07,LARGE SUSPICIOUS TRANSFER,SUSPICIOUS,debit,71355.88,9384.45
TXN01054,2024-02-07,RESTAURANT PAYMENT UPI,RESTAURANT,debit,578.71,5246.07
TXN01043,2024-02-07,NETFLIX SUBSCRIPTION,OTT_SUBS,debit,386.69,28120.77
TXN01055,2024-02-09,ZOMATO ORDER,RESTAURANT,debit,1315.11,3930.96
TXN01047,2024-02-10,BIG BAZAAR,GROCERY,debit,2981.93,18219.21
TXN01067,2024-02-11,ATM WITHDRAWAL SBI,ATM_WITHDRAW,debit,4957.24,500.0
TXN01049,2024-02-12,ZEPTO ORDER,GROCERY,debit,1303.74,13762.53
TXN01045,2024-02-13,ZEPTO ORDER,GROCERY,debit,1007.85,22436.44
TXN01040,2024-02-14,EMI HDFC HOME LOAN,EMI_LOAN,debit,8746.9,30201.72
TXN01041,2024-02-15,UPPCL BILL PAYMENT,ELECTRICITY,debit,1341.31,28860.41
TXN01038,2024-02-15,SALARY CREDIT HDFC BANK,SALARY,credit,52132.45,52632.45
TXN01056,2024-02-19,RESTAURANT PAYMENT UPI,RESTAURANT,debit,819.65,3111.31
TXN01046,2024-02-19,DMART PURCHASE,GROCERY,debit,1235.3,21201.14
TXN01072,2024-02-20,IMPS CREDIT,TRANSFER_IN,credit,8823.01,27022.52
TXN01074,2024-02-20,NEFT TRANSFER SENT,TRANSFER_OUT,debit,16484.15,500.0
TXN01058,2024-02-20,ZOMATO ORDER,RESTAURANT,debit,1036.35,1131.59
TXN01053,2024-02-20,RESTAURANT PAYMENT UPI,RESTAURANT,debit,1010.91,5824.78
TXN01048,2024-02-21,BLINKIT,GROCERY,debit,3152.94,15066.27
TXN01052,2024-02-25,BIG BAZAAR,GROCERY,debit,2548.76,6835.69
TXN01059,2024-02-26,FLIPKART ORDER,SHOPPING,debit,7718.35,500.0
TXN01050,2024-02-26,BIG BAZAAR,GROCERY,debit,1129.64,12632.89
TXN01073,2024-02-26,IMPS DEBIT,TRANSFER_OUT,debit,13290.23,13732.29
TXN01062,2024-02-27,FLIPKART ORDER,SHOPPING,debit,5071.73,500.0
TXN01057,2024-02-27,ZOMATO ORDER,RESTAURANT,debit,943.37,2167.94
TXN01042,2024-02-28,VI MONTHLY PLAN,MOBILE_BILL,debit,352.95,28507.46
TXN01063,2024-02-28,HP PETROL PUMP,FUEL,debit,628.7,500.0
TXN01090,2024-03-01,RELIANCE FRESH,GROCERY,debit,848.8,20565.77
TXN01084,2024-03-01,ZEPTO ORDER,GROCERY,debit,2533.49,32671.31
TXN01097,2024-03-01,ZOMATO ORDER,RESTAURANT,debit,1526.88,8746.97
TXN01081,2024-03-02,AMAZON PRIME,OTT_SUBS,debit,647.13,28420.69
TXN01079,2024-03-03,UPPCL BILL PAYMENT,ELECTRICITY,debit,1042.83,29857.9
TXN01102,2024-03-03,HP PETROL PUMP,FUEL,debit,2369.3,500.0
TXN01114,2024-03-03,NEFT TRANSFER SENT,TRANSFER_OUT,debit,7148.97,500.0
TXN01087,2024-03-03,DMART PURCHASE,GROCERY,debit,3428.89,27181.19
TXN01099,2024-03-04,AMAZON PURCHASE,SHOPPING,debit,682.37,5838.21
TXN01098,2024-03-05,MYNTRA SHOPPING,SHOPPING,debit,2226.39,6520.58
TXN01112,2024-03-09,IMPS DEBIT,TRANSFER_OUT,debit,17859.62,14858.74
TXN01083,2024-03-09,UPWORK TRANSFER,FREELANCE,credit,10238.14,35204.8
TXN01082,2024-03-12,HEALTH INSURANCE BAJAJ,INSURANCE,debit,3454.03,24966.66
TXN01095,2024-03-13,RESTAURANT PAYMENT UPI,RESTAURANT,debit,1319.51,12301.92
TXN01094,2024-03-14,SWIGGY DELIVERY,RESTAURANT,debit,1556.7,13621.43
TXN01088,2024-03-14,ZEPTO ORDER,GROCERY,debit,2281.58,24899.61
TXN01109,2024-03-15,MEDPLUS CHEMIST,MEDICAL,debit,7925.4,500.0
TXN01089,2024-03-16,BLINKIT,GROCERY,debit,3485.04,21414.57
TXN01091,2024-03-16,ZEPTO ORDER,GROCERY,debit,2815.53,17750.24
TXN01100,2024-03-17,FLIPKART ORDER,SHOPPING,debit,7959.13,500.0
TXN01092,2024-03-17,RESTAURANT PAYMENT UPI,RESTAURANT,debit,908.54,16841.7
TXN01085,2024-03-17,BLINKIT,GROCERY,debit,1236.4,31434.91
TXN01107,2024-03-18,ATM WITHDRAWAL AXIS,ATM_WITHDRAW,debit,6454.41,500.0
TXN01076,2024-03-18,SALARY TRF,SALARY,credit,53377.1,53877.1
TXN01093,2024-03-19,SWIGGY DELIVERY,RESTAURANT,debit,1663.57,15178.13
TXN01105,2024-03-20,HP PETROL PUMP,FUEL,debit,1236.12,500.0
TXN01104,2024-03-21,HP PETROL PUMP,FUEL,debit,1930.73,500.0
TXN01108,2024-03-22,ATM CASH HDFC,ATM_WITHDRAW,debit,7568.24,500.0
TXN01078,2024-03-23,PERSONAL LOAN EMI,EMI_LOAN,debit,8770.72,30900.73
TXN01106,2024-03-23,ATM WITHDRAWAL AXIS,ATM_WITHDRAW,debit,4147.8,500.0
TXN01103,2024-03-24,INDIAN OIL FUEL,FUEL,debit,1326.88,500.0
TXN01111,2024-03-26,NEFT TRANSFER RECEIVED,TRANSFER_IN,credit,18778.45,32718.36
TXN01080,2024-03-26,JIO RECHARGE,MOBILE_BILL,debit,790.08,29067.82
TXN01096,2024-03-27,SWIGGY DELIVERY,RESTAURANT,debit,2028.07,10273.85
TXN01077,2024-03-28,HOUSE RENT PAYMENT UPI,RENT,debit,14205.65,39671.45
TXN01101,2024-03-29,FLIPKART ORDER,SHOPPING,debit,2596.7,500.0
TXN01113,2024-03-29,UPI PAYMENT SENT,TRANSFER_OUT,debit,8116.24,6742.5
TXN01086,2024-03-30,BIG BAZAAR,GROCERY,debit,824.83,30610.08
TXN01110,2024-03-31,UPI MONEY RECEIVED,TRANSFER_IN,credit,13439.91,13939.91
TXN01149,2024-04-01,NEFT TRANSFER RECEIVED,TRANSFER_IN,credit,13945.06,14445.06
TXN01133,2024-04-01,ZOMATO ORDER,RESTAURANT,debit,598.58,5631.93
TXN01151,2024-04-02,IMPS DEBIT,TRANSFER_OUT,debit,1636.27,28589.22
TXN01153,2024-04-03,NEFT TRANSFER SENT,TRANSFER_OUT,debit,16438.92,500.0
TXN01116,2024-04-04,RENT TRANSFER NEFT,RENT,debit,14394.89,36218.53
TXN01150,2024-04-04,IMPS CREDIT,TRANSFER_IN,credit,15780.43,30225.49
TXN01145,2024-04-04,ATM CASH HDFC,ATM_WITHDRAW,debit,3385.61,500.0
TXN01140,2024-04-05,AMAZON PURCHASE,SHOPPING,debit,1401.23,500.0
TXN01146,2024-04-05,ATM CASH HDFC,ATM_WITHDRAW,debit,5188.04,500.0
TXN01131,2024-04-05,SWIGGY DELIVERY,RESTAURANT,debit,623.97,7415.63
TXN01123,2024-04-05,RELIANCE FRESH,GROCERY,debit,2210.06,20416.72
TXN01125,2024-04-07,RELIANCE FRESH,GROCERY,debit,1030.44,18003.56
TXN01137,2024-04-07,AMAZON PURCHASE,SHOPPING,debit,5428.33,500.0
TXN01117,2024-04-08,PERSONAL LOAN EMI,EMI_LOAN,debit,8850.98,27367.55
TXN01148,2024-04-10,MEDPLUS CHEMIST,MEDICAL,debit,5193.95,500.0
TXN01122,2024-04-10,SAVINGS INTEREST CREDIT,INTEREST,credit,693.56,22626.78
TXN01118,2024-04-12,BESCOM ELECTRICITY BILL,ELECTRICITY,debit,2029.93,25337.62
TXN01139,2024-04-12,MYNTRA SHOPPING,SHOPPING,debit,4745.28,500.0
TXN01141,2024-04-14,BPCL FUEL PAYMENT,FUEL,debit,729.5,500.0
TXN01134,2024-04-15,SWIGGY DELIVERY,RESTAURANT,debit,775.56,4856.37
TXN01129,2024-04-17,ZEPTO ORDER,GROCERY,debit,1876.82,10848.52
TXN01142,2024-04-17,INDIAN OIL FUEL,FUEL,debit,1278.53,500.0
TXN01128,2024-04-18,ZEPTO ORDER,GROCERY,debit,2194.01,12725.34
TXN01126,2024-04-20,ZEPTO ORDER,GROCERY,debit,1910.66,16092.9
TXN01152,2024-04-20,UPI PAYMENT SENT,TRANSFER_OUT,debit,14811.38,13777.84
TXN01143,2024-04-20,INDIAN OIL FUEL,FUEL,debit,938.33,500.0
TXN01136,2024-04-21,ZOMATO ORDER,RESTAURANT,debit,1668.02,1344.78
TXN01120,2024-04-22,AMAZON PRIME,OTT_SUBS,debit,313.08,24436.11
TXN01135,2024-04-22,ZOMATO ORDER,RESTAURANT,debit,1843.57,3012.8
TXN01138,2024-04-22,MYNTRA SHOPPING,SHOPPING,debit,5975.29,500.0
TXN01147,2024-04-22,ATM CASH HDFC,ATM_WITHDRAW,debit,7080.75,500.0
TXN01132,2024-04-23,ZOMATO ORDER,RESTAURANT,debit,1185.12,6230.51
TXN01127,2024-04-23,RELIANCE FRESH,GROCERY,debit,1173.55,14919.35
TXN01144,2024-04-26,BPCL FUEL PAYMENT,FUEL,debit,1729.04,500.0
TXN01119,2024-04-28,VI MONTHLY PLAN,MOBILE_BILL,debit,588.43,24749.19
TXN01124,2024-04-28,LARGE SUSPICIOUS TRANSFER,SUSPICIOUS,debit,65395.1,19034.0
TXN01130,2024-04-28,DMART PURCHASE,GROCERY,debit,2808.92,8039.6
TXN01115,2024-04-28,SALARY CREDIT HDFC BANK,SALARY,credit,50113.42,50613.42
TXN01121,2024-04-30,TERM INSURANCE HDFC,INSURANCE,debit,2502.89,21933.22
TXN01189,2024-05-01,NEFT TRANSFER RECEIVED,TRANSFER_IN,credit,22128.64,22628.64
TXN01158,2024-05-02,AIRTEL BILL PAYMENT,MOBILE_BILL,debit,318.48,27504.82
TXN01161,2024-05-02,UPWORK TRANSFER,FREELANCE,credit,8910.42,33249.07
TXN01159,2024-05-03,AMAZON PRIME,OTT_SUBS,debit,317.28,27187.54
TXN01182,2024-05-03,BPCL FUEL PAYMENT,FUEL,debit,2719.26,500.0
TXN01191,2024-05-04,IMPS DEBIT,TRANSFER_OUT,debit,9405.24,36008.05
TXN01163,2024-05-04,RELIANCE FRESH,GROCERY,debit,1928.45,31729.62
TXN01188,2024-05-05,APOLLO PHARMACY,MEDICAL,debit,2249.21,500.0
TXN01174,2024-05-07,RESTAURANT PAYMENT UPI,RESTAURANT,debit,2400.64,8757.01
TXN01193,2024-05-07,UPI PAYMENT SENT,TRANSFER_OUT,debit,11181.33,5175.19
TXN01156,2024-05-08,EMI HDFC HOME LOAN,EMI_LOAN,debit,8952.68,28845.18
TXN01160,2024-05-08,TERM INSURANCE HDFC,INSURANCE,debit,2848.89,24338.65
TXN01165,2024-05-09,ZEPTO ORDER,GROCERY,debit,2335.0,27115.1
TXN01173,2024-05-09,ZOMATO ORDER,RESTAURANT,debit,2148.43,11157.65
TXN01184,2024-05-10,HP PETROL PUMP,FUEL,debit,2592.41,500.0
TXN01183,2024-05-11,HP PETROL PUMP,FUEL,debit,792.67,500.0
TXN01177,2024-05-12,MYNTRA SHOPPING,SHOPPING,debit,2964.98,3041.7
TXN01155,2024-05-12,RENT TRANSFER NEFT,RENT,debit,13158.31,37797.86
TXN01168,2024-05-12,RELIANCE FRESH,GROCERY,debit,1958.28,20906.33
TXN01157,2024-05-13,UPPCL BILL PAYMENT,ELECTRICITY,debit,1021.88,27823.3
TXN01186,2024-05-13,ATM WITHDRAWAL SBI,ATM_WITHDRAW,debit,3780.61,500.0
TXN01181,2024-05-14,HP PETROL PUMP,FUEL,debit,1873.82,500.0
TXN01179,2024-05-16,AMAZON PURCHASE,SHOPPING,debit,6422.14,500.0
TXN01171,2024-05-16,ZOMATO ORDER,RESTAURANT,debit,1096.12,13736.05
TXN01176,2024-05-16,RESTAURANT PAYMENT UPI,RESTAURANT,debit,1231.42,6006.68
TXN01166,2024-05-17,BLINKIT,GROCERY,debit,2775.45,24339.65
TXN01167,2024-05-18,RELIANCE FRESH,GROCERY,debit,1475.04,22864.61
TXN01187,2024-05-18,ATM CASH HDFC,ATM_WITHDRAW,debit,9135.18,500.0
TXN01192,2024-05-19,UPI PAYMENT SENT,TRANSFER_OUT,debit,19651.53,16356.52
TXN01175,2024-05-20,RESTAURANT PAYMENT UPI,RESTAURANT,debit,1518.91,7238.1
TXN01178,2024-05-21,MYNTRA SHOPPING,SHOPPING,debit,6142.81,500.0
TXN01180,2024-05-21,MYNTRA SHOPPING,SHOPPING,debit,4208.15,500.0
TXN01162,2024-05-21,INTEREST CREDIT SB AC,INTEREST,credit,409.0,33658.07
TXN01169,2024-05-23,BIG BAZAAR,GROCERY,debit,2837.27,18069.06
TXN01164,2024-05-25,RELIANCE FRESH,GROCERY,debit,2279.52,29450.1
TXN01172,2024-05-27,ZOMATO ORDER,RESTAURANT,debit,429.97,13306.08
TXN01185,2024-05-29,ATM CASH HDFC,ATM_WITHDRAW,debit,8707.85,500.0
TXN01154,2024-05-29,SALARY CREDIT HDFC BANK,SALARY,credit,50456.17,50956.17
TXN01170,2024-05-30,BLINKIT,GROCERY,debit,3236.89,14832.17
TXN01190,2024-05-31,NEFT TRANSFER RECEIVED,TRANSFER_IN,credit,22784.65,45413.29
TXN01213,2024-06-01,ZOMATO ORDER,RESTAURANT,debit,1145.78,5580.21
TXN01232,2024-06-01,UPI PAYMENT SENT,TRANSFER_OUT,debit,17120.82,500.0
TXN01227,2024-06-05,ATM WITHDRAWAL SBI,ATM_WITHDRAW,debit,9973.09,500.0
TXN01211,2024-06-05,RESTAURANT PAYMENT UPI,RESTAURANT,debit,2441.11,7000.32
TXN01200,2024-06-06,TERM INSURANCE HDFC,INSURANCE,debit,3027.18,25171.84
TXN01197,2024-06-09,BESCOM ELECTRICITY BILL,ELECTRICITY,debit,1816.32,28908.63
TXN01230,2024-06-09,IMPS DEBIT,TRANSFER_OUT,debit,4099.83,27010.9
TXN01224,2024-06-09,HP PETROL PUMP,FUEL,debit,1537.05,500.0
TXN01207,2024-06-12,BLINKIT,GROCERY,debit,3388.5,16838.15
TXN01195,2024-06-13,HOUSE RENT PAYMENT UPI,RENT,debit,12034.06,39253.1
TXN01231,2024-06-13,UPI PAYMENT SENT,TRANSFER_OUT,debit,15548.19,11462.71
TXN01198,2024-06-13,JIO RECHARGE,MOBILE_BILL,debit,417.75,28490.88
TXN01201,2024-06-13,FREELANCE PAYMENT RAZORPAY,FREELANCE,credit,5647.4,30819.24
TXN01219,2024-06-13,AMAZON PURCHASE,SHOPPING,debit,1736.26,500.0
TXN01215,2024-06-14,SWIGGY DELIVERY,RESTAURANT,debit,375.26,4381.75
TXN01217,2024-06-15,FLIPKART ORDER,SHOPPING,debit,7393.82,500.0
TXN01204,2024-06-15,BIG BAZAAR,GROCERY,debit,2499.38,25698.52
TXN01206,2024-06-16,ZEPTO ORDER,GROCERY,debit,2790.17,20226.65
TXN01223,2024-06-17,INDIAN OIL FUEL,FUEL,debit,2595.82,500.0
TXN01221,2024-06-17,INDIAN OIL FUEL,FUEL,debit,1441.85,500.0
TXN01216,2024-06-18,ZOMATO ORDER,RESTAURANT,debit,1158.27,3223.48
TXN01229,2024-06-19,UPI MONEY RECEIVED,TRANSFER_IN,credit,6936.35,31110.73
TXN01194,2024-06-19,SALARY TRF,SALARY,credit,46111.97,51287.16
TXN01203,2024-06-19,DMART PURCHASE,GROCERY,debit,3417.12,28197.9
TXN01205,2024-06-21,ZEPTO ORDER,GROCERY,debit,2681.7,23016.82
TXN01225,2024-06-21,ATM CASH HDFC,ATM_WITHDRAW,debit,2451.0,500.0
TXN01202,2024-06-21,INTEREST CREDIT SB AC,INTEREST,credit,795.78,31615.02
TXN01228,2024-06-21,UPI MONEY RECEIVED,TRANSFER_IN,credit,23674.38,24174.38
TXN01212,2024-06-22,ZOMATO ORDER,RESTAURANT,debit,274.33,6725.99
TXN01220,2024-06-22,MYNTRA SHOPPING,SHOPPING,debit,6579.15,500.0
TXN01218,2024-06-24,MYNTRA SHOPPING,SHOPPING,debit,7074.96,500.0
TXN01208,2024-06-24,DMART PURCHASE,GROCERY,debit,2474.36,14363.79
TXN01222,2024-06-25,BPCL FUEL PAYMENT,FUEL,debit,2924.79,500.0
TXN01199,2024-06-28,NETFLIX SUBSCRIPTION,OTT_SUBS,debit,291.86,28199.02
TXN01214,2024-06-28,ZOMATO ORDER,RESTAURANT,debit,823.2,4757.01
TXN01226,2024-06-28,ATM WITHDRAWAL AXIS,ATM_WITHDRAW,debit,8503.21,500.0
TXN01209,2024-06-28,DMART PURCHASE,GROCERY,debit,2546.49,11817.3
TXN01210,2024-06-28,BLINKIT,GROCERY,debit,2375.87,9441.43
TXN01196,2024-06-30,EMI HDFC HOME LOAN,EMI_LOAN,debit,8528.15,30724.95
TXN01259,2024-07-01,INDIAN OIL FUEL,FUEL,debit,1836.06,500.0
TXN01249,2024-07-02,SWIGGY DELIVERY,RESTAURANT,debit,1627.85,500.0
TXN01266,2024-07-03,IMPS CREDIT,TRANSFER_IN,credit,5428.5,5928.5
TXN01254,2024-07-03,MYNTRA SHOPPING,SHOPPING,debit,7057.38,500.0
TXN01265,2024-07-04,APOLLO PHARMACY,MEDICAL,debit,6546.51,500.0
TXN01257,2024-07-05,FLIPKART ORDER,SHOPPING,debit,3088.12,500.0
TXN01237,2024-07-05,VI MONTHLY PLAN,MOBILE_BILL,debit,343.2,23508.75
TXN01240,2024-07-06,DMART PURCHASE,GROCERY,debit,2466.61,17626.28
TXN01241,2024-07-06,DMART PURCHASE,GROCERY,debit,2441.84,15184.44
TXN01244,2024-07-06,BLINKIT,GROCERY,debit,2017.46,8107.71
TXN01247,2024-07-10,DMART PURCHASE,GROCERY,debit,3301.79,500.0
TXN01264,2024-07-11,ATM WITHDRAWAL SBI,ATM_WITHDRAW,debit,9366.98,500.0
TXN01253,2024-07-11,ZOMATO ORDER,RESTAURANT,debit,519.3,500.0
TXN01236,2024-07-12,UPPCL BILL PAYMENT,ELECTRICITY,debit,1924.58,23851.95
TXN01250,2024-07-13,RESTAURANT PAYMENT UPI,RESTAURANT,debit,681.0,500.0
TXN01260,2024-07-14,INDIAN OIL FUEL,FUEL,debit,1410.67,500.0
TXN01269,2024-07-14,NEFT TRANSFER SENT,TRANSFER_OUT,debit,12100.83,500.0
TXN01268,2024-07-14,LARGE SUSPICIOUS TRANSFER,SUSPICIOUS,debit,84848.76,500.0
TXN01239,2024-07-15,LIC PREMIUM,INSURANCE,debit,2971.88,20092.89
TXN01267,2024-07-15,UPI MONEY RECEIVED,TRANSFER_IN,credit,9891.33,15819.83
TXN01251,2024-07-16,RESTAURANT PAYMENT UPI,RESTAURANT,debit,985.6,500.0
TXN01248,2024-07-17,ZOMATO ORDER,RESTAURANT,debit,793.96,500.0
TXN01246,2024-07-17,BLINKIT,GROCERY,debit,3363.71,2264.37
TXN01235,2024-07-22,PERSONAL LOAN EMI,EMI_LOAN,debit,8915.69,25776.53
TXN01263,2024-07-22,ATM CASH HDFC,ATM_WITHDRAW,debit,2654.07,500.0
TXN01252,2024-07-25,RESTAURANT PAYMENT UPI,RESTAURANT,debit,1258.27,500.0
TXN01238,2024-07-25,HOTSTAR SUBSCRIPTION,OTT_SUBS,debit,443.98,23064.77
TXN01256,2024-07-26,AMAZON PURCHASE,SHOPPING,debit,2178.87,500.0
TXN01234,2024-07-26,HOUSE RENT PAYMENT UPI,RENT,debit,13494.5,34692.22
TXN01270,2024-07-26,IMPS DEBIT,TRANSFER_OUT,debit,1880.4,500.0
TXN01261,2024-07-26,HP PETROL PUMP,FUEL,debit,2225.99,500.0
TXN01262,2024-07-26,ATM WITHDRAWAL SBI,ATM_WITHDRAW,debit,8395.28,500.0
TXN01233,2024-07-28,SALARY TRF,SALARY,credit,47686.72,48186.72
TXN01255,2024-07-29,AMAZON PURCHASE,SHOPPING,debit,7798.33,500.0
TXN01258,2024-07-29,INDIAN OIL FUEL,FUEL,debit,579.51,500.0
TXN01245,2024-07-30,ZEPTO ORDER,GROCERY,debit,2479.63,5628.08
TXN01242,2024-07-30,ZEPTO ORDER,GROCERY,debit,2298.0,12886.44
TXN01243,2024-07-31,BIG BAZAAR,GROCERY,debit,2761.27,10125.17
TXN01285,2024-08-01,RELIANCE FRESH,GROCERY,debit,820.34,9630.8
TXN01283,2024-08-02,ZEPTO ORDER,GROCERY,debit,1459.75,12143.08
TXN01274,2024-08-03,UPPCL BILL PAYMENT,ELECTRICITY,debit,1295.75,27893.45
TXN01278,2024-08-03,DMART PURCHASE,GROCERY,debit,2551.82,21717.65
TXN01292,2024-08-04,FLIPKART ORDER,SHOPPING,debit,539.75,4083.75
TXN01282,2024-08-05,DMART PURCHASE,GROCERY,debit,1780.32,13602.83
TXN01286,2024-08-06,SWIGGY DELIVERY,RESTAURANT,debit,1040.32,8590.48
TXN01297,2024-08-06,BPCL FUEL PAYMENT,FUEL,debit,2919.99,500.0
TXN01291,2024-08-06,RESTAURANT PAYMENT UPI,RESTAURANT,debit,1115.07,4623.5
TXN01276,2024-08-07,HOTSTAR SUBSCRIPTION,OTT_SUBS,debit,310.04,26915.71
TXN01271,2024-08-07,SALARY TRF,SALARY,credit,51871.66,52371.66
TXN01290,2024-08-08,RESTAURANT PAYMENT UPI,RESTAURANT,debit,1803.01,5738.57
TXN01306,2024-08-09,IMPS DEBIT,TRANSFER_OUT,debit,19245.47,500.0
TXN01303,2024-08-10,UPI MONEY RECEIVED,TRANSFER_IN,credit,14166.47,14666.47
TXN01287,2024-08-11,SWIGGY DELIVERY,RESTAURANT,debit,402.14,8188.34
TXN01302,2024-08-11,ATM CASH HDFC,ATM_WITHDRAW,debit,6751.06,500.0
TXN01281,2024-08-12,BIG BAZAAR,GROCERY,debit,1144.47,15383.15
TXN01304,2024-08-12,UPI MONEY RECEIVED,TRANSFER_IN,credit,5841.53,20508.0
TXN01299,2024-08-12,INDIAN OIL FUEL,FUEL,debit,787.09,500.0
TXN01273,2024-08-13,PERSONAL LOAN EMI,EMI_LOAN,debit,8933.61,29189.2
TXN01284,2024-08-13,BIG BAZAAR,GROCERY,debit,1691.94,10451.14
TXN01300,2024-08-14,ATM WITHDRAWAL SBI,ATM_WITHDRAW,debit,4309.04,500.0
TXN01272,2024-08-14,HOUSE RENT PAYMENT UPI,RENT,debit,14248.85,38122.81
TXN01307,2024-08-15,IMPS DEBIT,TRANSFER_OUT,debit,12317.83,500.0
TXN01280,2024-08-15,BIG BAZAAR,GROCERY,debit,2812.69,16527.62
TXN01295,2024-08-15,FLIPKART ORDER,SHOPPING,debit,4512.78,500.0
TXN01279,2024-08-15,DMART PURCHASE,GROCERY,debit,2377.34,19340.31
TXN01293,2024-08-17,FLIPKART ORDER,SHOPPING,debit,4180.62,500.0
TXN01296,2024-08-19,HP PETROL PUMP,FUEL,debit,2596.46,500.0
TXN01294,2024-08-19,FLIPKART ORDER,SHOPPING,debit,6656.46,500.0
TXN01298,2024-08-20,HP PETROL PUMP,FUEL,debit,1769.03,500.0
TXN01305,2024-08-20,NEFT TRANSFER SENT,TRANSFER_OUT,debit,7111.38,13396.62
TXN01277,2024-08-22,LIC PREMIUM,INSURANCE,debit,2646.24,24269.47
